case_id,rule_id,status,message,evidence,confidence
C004,ACL-001,WARNING,ACL deny entries exist; deterministic checker cannot prove whether they block the affected flow without full traffic context.,10 deny ip 10.10.20.0 0.0.0.255 any,Medium
C004,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C004,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C004,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C004,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C004,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C004,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C005,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C005,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C005,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C005,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C005,VLAN-002,NOT_APPLICABLE,No 'show vlan brief' output available for VLAN-presence validation.,,High
C005,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C005,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C005,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C005,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C005,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C005,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C005,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C005,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C005,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C005,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C005,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C005,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C005,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C005,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C006,IPCFG-005,FAIL,Host 1 default gateway 10.10.20.1 is outside the host subnet 10.10.10.0/24.,"IP=10.10.10.88, Mask=255.255.255.0, Gateway=10.10.20.1",High
C006,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C006,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C006,GW-001,NOT_APPLICABLE,No router interface IPs were available for gateway comparison.,,High
C006,VLAN-002,NOT_APPLICABLE,No 'show vlan brief' output available for VLAN-presence validation.,,High
C006,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C006,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C006,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C006,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C006,DHCP-002,WARNING,"DHCP-related symptom detected, but no interface configuration block was supplied.",No ip helper-address evidence available.,Medium
C006,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C006,ROUTE-001,NOT_APPLICABLE,Symptom does not clearly indicate a routed-connectivity problem.,,Medium
C006,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C006,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C006,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C006,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C006,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C006,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C006,DNS-001,WARNING,"DNS evidence is present, but this checker cannot fully validate record correctness without a DNS zone/database view.",DNS/lookup evidence supplied,Medium
C007,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C007,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C007,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C007,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C007,VLAN-002,NOT_APPLICABLE,No 'show vlan brief' output available for VLAN-presence validation.,,High
C007,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C007,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C007,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C007,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C007,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C007,TRUNK-001,FAIL,Referenced VLAN(s) [40] are not in the trunk allowed list.,"Allowed=[1, 10, 20, 30]; referenced=[30, 40]",High
C007,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C007,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C007,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C007,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C007,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C007,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C007,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C007,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C008,IPCFG-006,PASS,Host 1 IP/mask/gateway are internally consistent at the subnet level.,"IP=169.254.12.9, Mask=255.255.0.0, Gateway=0.0.0.0",High
C008,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C008,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C008,GW-001,NOT_APPLICABLE,No router interface IPs were available for gateway comparison.,,High
C008,VLAN-002,NOT_APPLICABLE,No 'show vlan brief' output available for VLAN-presence validation.,,High
C008,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C008,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C008,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C008,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C008,DHCP-002,PASS,No deterministic missing-helper condition was established from the supplied evidence.,Helper configuration evidence is present or case is not a relay case.,Medium
C008,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C008,ROUTE-001,NOT_APPLICABLE,Symptom does not clearly indicate a routed-connectivity problem.,,Medium
C008,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C008,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C008,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C008,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C008,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C008,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C008,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C009,IPCFG-006,PASS,Host 1 IP/mask/gateway are internally consistent at the subnet level.,"IP=172.16.30.55, Mask=255.255.255.0, Gateway=172.16.30.1",High
C009,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C009,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C009,GW-001,NOT_APPLICABLE,No router interface IPs were available for gateway comparison.,,High
C009,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
C009,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C009,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C009,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C009,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C009,DHCP-002,WARNING,"DHCP-related symptom detected, but no interface configuration block was supplied.",No ip helper-address evidence available.,Medium
C009,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C009,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C009,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C009,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C009,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C009,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C009,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C009,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C009,DNS-001,WARNING,"DNS evidence is present, but this checker cannot fully validate record correctness without a DNS zone/database view.",DNS/lookup evidence supplied,Medium
C010,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C010,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C010,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C010,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C010,VLAN-002,NOT_APPLICABLE,No 'show vlan brief' output available for VLAN-presence validation.,,High
C010,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C010,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C010,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C010,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C010,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C010,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C010,ROUTE-001,FAIL,No OSPF routes and no OSPF neighbors are shown for a routed case.,No OSPF route + no OSPF neighbor,High
C010,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C010,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C010,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C010,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C010,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C010,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C010,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C011,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C011,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C011,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C011,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C011,VLAN-002,PASS,VLAN 30 is present in the supplied VLAN table.,Present VLANs=[30],High
C011,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C011,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C011,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C011,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C011,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C011,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C011,ROUTE-001,NOT_APPLICABLE,Symptom does not clearly indicate a routed-connectivity problem.,,Medium
C011,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C011,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C011,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C011,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C011,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C011,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C011,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C012,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C012,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C012,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C012,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C012,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
C012,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C012,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C012,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C012,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C012,DHCP-002,WARNING,"DHCP-related symptom detected, but no interface configuration block was supplied.",No ip helper-address evidence available.,Medium
C012,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C012,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C012,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C012,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C012,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C012,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C012,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C012,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C012,DNS-001,WARNING,"DNS evidence is present, but this checker cannot fully validate record correctness without a DNS zone/database view.",DNS/lookup evidence supplied,Medium
C013,IPCFG-006,PASS,Host 1 IP/mask/gateway are internally consistent at the subnet level.,"IP=192.168.2.50, Mask=255.255.255.0, Gateway=192.168.2.254",High
C013,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C013,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C013,GW-001,FAIL,Observed gateway 192.168.2.254 does not match any supplied router interface IP in the host subnet.,Host subnet=192.168.2.0/24; gateway=192.168.2.254; router IPs=['192.168.2.1'],High
C013,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
C013,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C013,IF-001,PASS,No administratively-down/down interface was found in the supplied summary.,All parsed interfaces are operational.,High
C013,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C013,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C013,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C013,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C013,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C013,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C013,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C013,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C013,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C013,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C013,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C013,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C014,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C014,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C014,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C014,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C014,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
C014,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C014,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C014,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C014,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C014,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C014,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C014,ROUTE-001,FAIL,Routing evidence contains an empty route view for a case describing remote connectivity failure.,No route/static route output shown.,High
C014,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C014,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C014,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C014,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C014,EIGRP-001,NOT_APPLICABLE,No EIGRP configuration evidence found.,,High
C014,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C014,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C015,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C015,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C015,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C015,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C015,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
C015,EVID-001,PASS,No explicit uncertainty statement was found in the supplied case evidence.,Evidence-sufficiency wording checked.,Medium
C015,IF-001,NOT_APPLICABLE,No 'show ip interface brief' table found.,,High
C015,VLAN-001,NOT_APPLICABLE,No explicit intended VLAN could be inferred from the case context.,,High
C015,DHCP-001,NOT_APPLICABLE,No DHCP pool utilization block found.,,High
C015,DHCP-002,NOT_APPLICABLE,Case symptom does not clearly indicate DHCP provisioning trouble.,,Medium
C015,TRUNK-001,NOT_APPLICABLE,No explicit trunk allowed-VLAN list found.,,High
C015,ROUTE-001,PASS,No deterministic missing-route signature was found in the supplied route evidence.,Route output does not show the empty/no-neighbor signatures used by this rule.,Medium
C015,ACL-001,NOT_APPLICABLE,No ACL deny entries found.,,High
C015,NAT-001,NOT_APPLICABLE,No NAT configuration evidence found.,,High
C015,NAT-002,NOT_APPLICABLE,No NAT source-list configuration found.,,High
C015,OSPF-001,NOT_APPLICABLE,No multi-end OSPF area mismatch signature detected.,,High
C015,EIGRP-001,FAIL,"Different EIGRP autonomous-system numbers are shown: [100, 200].","EIGRP AS values=[100, 200]",High
C015,WIFI-001,NOT_APPLICABLE,No wireless RSSI/SNR evidence found.,,High
C015,DNS-001,NOT_APPLICABLE,No DNS-related evidence found.,,High
C016,IPCFG-001,NOT_APPLICABLE,No PC ipconfig-style block found.,,High
C016,IPCFG-007,NOT_APPLICABLE,No explicit observed-vs-intended subnet mask comparison can be made.,,High
C016,IP-001,PASS,No conflicting IP-to-MAC mapping was detected in ARP-style evidence.,ARP evidence checked for one IP resolving to multiple MAC addresses.,High
C016,GW-001,NOT_APPLICABLE,No PC ipconfig block found.,,High
C016,VLAN-002,NOT_APPLICABLE,No single required VLAN could be inferred from the case context.,,High
