case_id,fault,osi_layer,concept_tag,severity,confidence,next_command,fix,reasoning,latency_sec
C011,"VLAN 30 has been created locally on access switch SW-ACC2, but the corresponding VLAN 30 interface (gateway) or trunk configuration with the correct VTP/VLAN database synchronization does not exist on SW-CORE for this specific segment, preventing inter-switch communication across the VLAN 30 network.",2,vlan,high,high,show interfaces trunk,Ensure VLAN 30 is correctly propagated via VTP or manually added to the VLAN database on SW-CORE and all intervening trunk links between SW-ACC2 and SW-CORE.,"The topology note and show output confirm that VLAN 30 exists locally on SW-ACC2 with ports Fa0/3 and Fa0/4, but SW-CORE only maps Gi0/2 to VLAN 30 and the subnet segments cannot communicate, indicating a segmentation/database mismatch across switches.",2.02
C012,"Internal DNS server 172.16.99.20 is returning an outdated A record (172.16.99.99) for 'fileserver.corp.local' instead of its current migrated address (172.16.99.15), causing connection failures to the decommissioned server IP.",7,dns,medium,high,nslookup fileserver.corp.local 172.16.99.20,Access the internal DNS server (172.16.99.20) and update the A record for 'fileserver.corp.local' to point to the correct IP address (172.16.99.15). Clear local client DNS cache using 'ipconfig /flushdns' if necessary.,"The nslookup output explicitly demonstrates that the DNS server 172.16.99.20 resolves 'fileserver.corp.local' to 172.16.99.99. The admin note confirms this address belongs to a decommissioned server and the correct address is 172.16.99.15, matching the symptoms of intermittent/incorrect resolution.",1.9
C013,"PC-BR1 is configured with an incorrect default gateway (192.168.2.254) instead of the actual router interface IP address (192.168.2.1), preventing the host from communicating off-subnet and reaching its gateway.",3,gateway,high,high,show ip route,Reconfigure the default gateway on PC-BR1 from 192.168.2.254 to 192.168.2.1.,"The pre-analysis rule GW-001 flagged that the configured gateway on PC-BR1 (192.168.2.254) does not match the actual router interface IP (192.168.2.1) on the same subnet (192.168.2.0/24). R2's interface is up/up with 192.168.2.1, so updating the PC's gateway will resolve the issue.",2.21
C014,"R1 lacks a routing table entry to reach the remote Branch LAN subnet (192.168.2.0/24). While the point-to-point WAN link between R1 and R2 is operational, R1 has no static route configured to forward traffic destined for the Branch network across the WAN.",3,routing,high,high,show running-config | include ip route,Configure a static route on R1 pointing to the Branch subnet via R2's WAN IP: 'ip route 192.168.2.0 255.255.255.0 192.168.12.2'. Ensure a corresponding return route is also present on R2.,"The evidence shows R1 can directly ping the WAN interface of R2 (192.168.12.2), confirming Layer 3 physical and link connectivity are working. However, the static route command output on R1 is empty and R1's routing table lacks an entry for 192.168.2.0/24, resulting in dropped packets for traffic destined to the Branch LAN.",2.09
C015,"R1 and R2 are configured with mismatched EIGRP Autonomous System (AS) numbers (AS 100 on R1 and AS 200 on R2), preventing them from establishing an EIGRP neighbor relationship and breaking connectivity.",3,routing,high,high,show ip protocols,"Correct the EIGRP AS number on either R1 or R2 so that both routers belong to the same AS (e.g., change R2's process to router eigrp 100 or R1's to router eigrp 200).","The deterministic pre-analysis rule EIGRP-001 explicitly flagged a mismatch in EIGRP autonomous-system numbers (100 on R1, 200 on R2). EIGRP requires identical AS numbers on directly connected interfaces to form neighbor adjacencies.",1.96
C016,"The HQ LAN gateway interface GigabitEthernet0/0 on R1 is currently in an administratively down state, causing a complete loss of local and external connectivity for the PC-HQ7 device.",1,gateway,high,high,show running-config interface gigabitethernet0/0,"Access R1 configuration mode, enter interface GigabitEthernet0/0, and issue the 'no shutdown' command.","The interface status explicitly shows 'administratively down', which is the manual state set by the 'shutdown' command. Bringing the interface up via 'no shutdown' will restore the gateway operation.",1.39
C017,"OSPF adjacency between R1 and R2 cannot form because the routers are configured in mismatched areas. R1's Se0/0/0 is in Area 0 while R2's Se0/0/0 is in Area 1, preventing neighbor discovery and route exchange over the WAN link.",3,routing,high,high,show ip ospf neighbor,"On R2, change the OSPF area on interface Serial0/0/0 to Area 0 to match R1: interface Serial0/0/0, then ip ospf 1 area 0.","The show ip ospf interface brief output shows R1 configured in Area 0 and R2 in Area 1 on the connecting serial link, resulting in a DOWN OSPF state and zero neighbors.",1.54
C018,"PC-BR5 is configured with an incorrect subnet mask (255.255.255.128, equivalent to a /25 prefix) while the actual branch subnet is 192.168.2.0/24 (subnet mask 255.255.255.0). Because of this mismatched mask, PC-BR5 treats destinations in the upper half of the /24 subnet (like HQ resources or other hosts in 192.168.2.128-254) as off-subnet and attempts to reach them via its default gateway instead of handling them directly or correctly matching the network design.",3,routing,medium,high,show ip route,Update PC-BR5 static IP configuration to use the correct subnet mask of 255.255.255.0 instead of 255.255.255.128.,"The topology states that the branch LAN is 192.168.2.0/24 with a /24 mask, but ipconfig shows PC-BR5 has a subnet mask of 255.255.255.128 (/25). This causes subnet segmentation issues where the host cannot properly communicate across the entire valid local subnet range.",1.95
C019,"The Network Address Translation (NAT) configuration on R-EDGE is incomplete. While the inside source translation rule and the corresponding outside interface are defined, the inside and outside NAT directions are missing on the respective router interfaces (Gi0/0 lacks 'ip nat inside' and Gi0/1 lacks 'ip nat outside'), preventing NAT from translating traffic from the 172.16.0.0/16 network.",3,nat,high,high,show ip nat statistics,"1. Configure 'ip nat inside' on interface GigabitEthernet0/0.
2. Configure 'ip nat outside' on interface GigabitEthernet0/1.
3. Modify access-list 1 to permit the correct internal network (172.16.0.0 0.0.255.255) instead of 10.0.0.0 0.255.255.255.","The NAT translations table is empty and interfaces lack ip nat inside/outside commands, confirmed by rule NAT-001. Additionally, the access-list 1 permits 10.0.0.0/8, whereas the internal network in use is 172.16.0.0/16, meaning traffic from internal hosts does not even match the NAT ACL.",1.98
C020,"The router GigabitEthernet interfaces lack the necessary 'ip nat inside' and 'ip nat outside' configuration commands. As a result, R-EDGE does not process outbound packets for Network Address Translation, preventing NAT translation entries from being created and dropping return traffic.",3,nat,high,high,show ip nat translations,"Configure the internal interface with 'ip nat inside' and the external interface with 'ip nat outside'. Specifically: 
1. interface GigabitEthernet0/0 
   ip nat inside 
2. interface GigabitEthernet0/1 
   ip nat outside","The show ip interface output for gi0/0 shows no NAT configuration, and gi0/1 explicitly states the outside interface is not set. Without the 'ip nat inside' and 'ip nat outside' commands on the respective interfaces, the NAT engine ignores traffic attempting to traverse the router.",1.75
C021,Internal users cannot resolve domain names because the internal DNS forwarder lacks an upstream 'ip name-server' command to relay queries to public DNS servers. IP connectivity works because direct IP addresses bypass the need for DNS resolution.,7,dns,high,high,show running-config | include ip name-server,"Enter global configuration mode on DNS-FWD and configure an upstream DNS server using the command: ip name-server <upstream-dns-ip-address> (e.g., 8.8.8.8 or 1.1.1.1).","The pre-analysis rule DNS-001 explicitly flagged that the DNS server configuration lacks an upstream 'ip name-server' entry. The symptom states that direct IP access works but domain name lookups timeout, confirming a DNS resolution failure on the internal forwarder.",1.53
C022,"Extended access list 110 applied outbound on interface GigabitEthernet0/1 explicitly denies TCP port 443 (HTTPS traffic) via sequence 30, while permitting HTTP (port 80) and ICMP (ping). This causes all HTTPS web browsing to fail.",4,acl,high,high,show running-config interface gigabitethernet 0/1,Remove the deny rule for port 443 from access-list 110 (no 30 deny tcp any any eq 443) and replace it with a permit statement or let the implicit deny handle unwanted traffic according to security policy.,"The show access-lists 110 output explicitly reveals a deny statement for TCP eq 443 (HTTPS), which perfectly explains why HTTPS fails while HTTP and ping succeed.",2.03
C023,"NAT overload (PAT) is experiencing translation exhaustion and high miss rates because a single public IP address is shared across a large internal network (172.16.0.0/16) without a port pool or secondary addresses, causing new connections to fail during peak usage hours when available port allocations are depleted.",3,nat,high,high,show ip nat statistics,"Add a pool of public IP addresses to the NAT overload configuration or implement a larger address pool to expand the available port space for internal hosts, ensuring sufficient translation capacity during peak traffic hours.","The evidence shows a high number of NAT misses (812) and low active translations despite intermittent loss of connectivity during peak hours, indicating port exhaustion on the single outside interface address used for PAT.",1.69
C024,External connections are failing because the inbound access list on the outside interface contains only a deny statement (deny ip any any) with no preceding permit statements to allow the required external-to-internal service traffic.,3,acl,high,high,show running-config interface gi0/1,"On R-EDGE, add explicit permit statements to access-list 120 above the deny statement to allow the required inbound service traffic, e.g., 'access-list 120 permit tcp any host <internal-server-ip> eq <port>'.","The pre-analysis rule ACL-001 confirmed that access-list 120 contains '10 deny ip any any' with no preceding permit rules, blocking all unsolicited inbound traffic from the internet.",1.68
C025,"The inbound ACL applied to VLAN 50 (GUEST_ISOLATION) incorrectly permits all IP traffic from the guest subnet (172.16.50.0/24) to any destination instead of blocking access to the internal network. Because the first matching statement is a 'permit ip' rule, guest traffic is allowed to reach the internal file server.",3,acl,high,high,show ip access-lists GUEST_ISOLATION,"Modify the access list on the core switch to explicitly deny traffic from VLAN 50 to the internal server subnet (e.g., deny ip 172.16.50.0 0.0.0.255 10.10.99.0 0.0.0.255) before the permit ip any any statement.","The show output for access list GUEST_ISOLATION shows a single entry: 'permit ip 172.16.50.0 0.0.0.255 any'. This permits guests to reach any destination, bypassing the intended isolation from the internal file server at 10.10.99.10.",1.8
C026,Devices connecting to the Guest SSID authenticate successfully but fail to receive an IP address because the core switch interface for VLAN 50 (SVI) does not have an ip helper-address configured to forward DHCP discover messages from the wireless clients to the DHCP server.,7,dhcp,high,high,show running-config interface vlan 50,"On SW-CORE, enter interface vlan 50 configuration mode and add the command 'ip helper-address <DHCP-Server-IP>'.","The topology states that DHCP for Guest VLAN 50 should be relayed to DHCP-SRV. However, the show-command output for 'interface Vlan50' explicitly shows no ip helper-address configured, preventing clients from receiving DHCP leases across the routed boundary.",1.63
C027,Corporate Wi-Fi users land on the Guest network subnet because the Corp-WiFi WLAN on WLC1 is incorrectly mapped to the 'guest-vlan50' interface instead of the Corporate interface tied to VLAN 10.,2,wireless,high,high,show interface summary,"On WLC1, navigate to WLAN configuration for Corp-WiFi (ID 1) and change the assigned interface from guest-vlan50 to the Corporate interface (VLAN 10).","The topology specifies that the Corporate SSID should map to VLAN 10 (Corporate interface). However, the 'show wlan Corp-WiFi' output indicates that WLAN Identifier 1 is currently assigned to the 'guest-vlan50' interface, causing corporate users to be placed on the guest subnet.",1.5
C028,"Wireless clients in the far corner of the building are experiencing poor performance and connection drops due to extremely weak radio frequency signal strength. The client show detail output reveals an RSSI of -82 dBm and an SNR of 6 dB, which fall well below acceptable thresholds for stable high-speed wireless connectivity.",1,wireless,medium,high,show ap dot11 802.11a summary,Re-evaluate physical placement or add an additional Access Point to provide better coverage in the far corner of the building to improve RSSI and SNR values for distant clients.,"The pre-analysis rule WIFI-001 explicitly flags poor wireless signal metrics (RSSI -82 dBm, SNR 6 dB) for the affected client, which directly explains the intermittent drops and slow speeds reported by users physically farthest from AP1.",1.52
C029,"Users attempting to connect to the Corp-WiFi SSID receive an 'incorrect password' error despite using the printed password. The pre-shared key configured on WLC1 for WLAN 1 is 'CorpWifi2023!', which may differ from what employees are entering or what is documented, but the direct configuration shows WPA2-PSK is enabled with a specific ASCII key.",2,wireless,medium,medium,show wlan 1,"Verify the exact Pre-Shared Key with the network administrator, ensure client devices are configured for WPA2-PSK with AES encryption, and update the WLC PSK if necessary using 'config wlan security wpa wpa2 psk set-key ascii <key> 1'.","The symptom of an 'incorrect password' on a WPA2-PSK wireless network typically points to a mismatch between the client's entered pre-shared key and the configured key on the wireless controller (WLC1), or a mismatch in encryption algorithms (TKIP vs AES).",2.21
C030,"The newly added access point (AP2) is failing to join the wireless controller (WLC1) because the switch port Fa0/12 is configured as a trunk port instead of an access port with the appropriate management/native VLAN settings, or DHCP/option 43/DNS is not configured to allow the AP to discover the WLC.",2,wireless,high,medium,show running-config interface fa0/12,"Verify switch port Fa0/12 configuration on SW-ACC3 to ensure it matches the VLAN requirements for AP discovery (often access port on the management VLAN with PoE enabled, or correct trunk encapsulation), and check DHCP option 43 or DNS entry for 'CiscoAirWave' or 'CISCO-LWAPP-CONTROLLER' pointing to WLC1.","AP2 does not appear in the WLC summary table and its LED shows no association. The switch port Fa0/12 is currently showing as a trunk, which might be misconfigured for a lightweight AP that typically expects a specific access VLAN or proper native VLAN tagging to discover the WLC via DHCP or DNS.",1.98
