case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity,expected_next_command,expected_fix
C011,A newly created VLAN 30 sub-network segment (Finance-Annex) cannot communicate with the rest of Finance VLAN 30 even though it was assigned VLAN 30 on its access switch.,Topology B (Campus L3): a second instance of VLAN 30 was created locally on SW-ACC2 without syncing VTP/VLAN database with SW-CORE.,"SW-ACC2# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------
30   VLAN0030                         active    Fa0/3, Fa0/4

SW-CORE# show vlan brief | include 30
30   Finance                          active    Gi0/2

SW-ACC2# show interfaces vlan 30
(vlan interface not configured on this switch - access layer only)","VLAN 30 exists independently on SW-ACC2 as an auto-created, unnamed VLAN (VLAN0030) rather than being learned consistently from the campus VLAN database used by SW-CORE (named 'Finance'). This points to inconsistent VLAN provisioning between switches (e.g. VTP mode/domain mismatch or manually created local VLAN), which can cause naming/scope inconsistencies even when the numeric VLAN ID matches.",2,vlan,medium,"show vtp status (on both SW-ACC2 and SW-CORE, to compare VTP domain and mode)","Align VTP domain/mode across switches, or if VTP is not in use, manually ensure VLAN 30 is named and provisioned identically on every switch in the path, then re-verify end-to-end connectivity from Finance-Annex to the rest of VLAN 30."
C012,"Multiple campus users intermittently report that internal hostnames resolve to the wrong IP addresses, sending them to a decommissioned server.",Topology B (Campus L3): internal DNS server 172.16.99.20 hosts A records for internal services including 'fileserver.corp.local'.,"PC-FIN9> nslookup fileserver.corp.local
Server: 172.16.99.20
Address: 172.16.99.20

Name: fileserver.corp.local
Address: 172.16.99.99

PC-FIN9> ping 172.16.99.99
Request timed out. (4/4 packets lost)

Admin note: fileserver.corp.local was migrated last month; its current address is 172.16.99.15.","The internal DNS server's A record for fileserver.corp.local is stale, still pointing to the decommissioned address 172.16.99.99 instead of the current 172.16.99.15, following a server migration that was not reflected in DNS.",7,dns,medium,"show running-config (on DNS-SRV, or its management interface) to inspect the current A record entries for fileserver.corp.local",Update the A record for fileserver.corp.local on the internal DNS server to 172.16.99.15 and confirm propagation by re-running 'nslookup fileserver.corp.local' from an affected client.
C013,"PC-BR1 at the Branch site (connected to R2) cannot reach anything, not even its own default gateway.",Topology C (WAN): R2 LAN interface Gi0/0 should be 192.168.2.1/24 serving PC-BR1's subnet.,"PC-BR1> ipconfig
IP Address..............: 192.168.2.50
Subnet Mask..............: 255.255.255.0
Default Gateway..........: 192.168.2.254

PC-BR1> ping 192.168.2.1
Request timed out. (4/4 packets lost)

R2# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0      192.168.2.1     YES manual up                    up","PC-BR1 is statically configured with default gateway 192.168.2.254, which does not correspond to any interface on R2 (the actual LAN gateway is 192.168.2.1 on Gi0/0). Off-subnet traffic is sent to a non-existent gateway and dropped.",3,gateway,high,"show arp (on R2, to confirm no device responds at .254)","Correct PC-BR1's default gateway to 192.168.2.1 to match R2's Gi0/0 address, then verify connectivity."
C014,"HQ (behind R1, 192.168.1.0/24) cannot reach the Branch LAN (behind R2, 192.168.2.0/24), though R1 and R2 can ping each other across the WAN link.",Topology C (WAN): R1 (HQ) <-> R2 (Branch) via point-to-point link 192.168.12.0/30. Static routing is used (no dynamic routing protocol configured).,"R1# show ip route static
(no output - no static routes configured)

R1# ping 192.168.12.2
Reply from 192.168.12.2: bytes=32 time=1ms TTL=255 (4/4 received)

PC-HQ3> ping 192.168.2.10
Request timed out. (4/4 packets lost)

R1# show ip route
Gateway of last resort is not set
     192.168.1.0/24 is directly connected, GigabitEthernet0/0
     192.168.12.0/30 is directly connected, Serial0/0/0","R1 has no static route (or dynamic routing) configured for the Branch LAN subnet 192.168.2.0/24, so it has no way to forward HQ-to-Branch traffic even though the WAN link itself is up and reachable.",3,routing,high,"show ip route (on R2, to confirm the reverse route toward 192.168.1.0/24 also needs checking)","Add a static route on R1: 'ip route 192.168.2.0 255.255.255.0 192.168.12.2', and confirm R2 has a corresponding route back to 192.168.1.0/24 via 192.168.12.1, then re-test end-to-end connectivity."
C015,R1 and R2 are both configured for EIGRP but never form a neighbor relationship; static routes were removed in favor of EIGRP and now HQ-Branch connectivity is down.,"Topology C (WAN): R1 and R2 connected via Serial0/0/0, both intended to run EIGRP for automatic route exchange.","R1# show ip eigrp neighbors
EIGRP-IPv4 Neighbors for AS(100)
(no neighbors found)

R1# show running-config | section router eigrp
router eigrp 100
 network 192.168.1.0
 network 192.168.12.0

R2# show running-config | section router eigrp
router eigrp 200
 network 192.168.2.0
 network 192.168.12.0","R1 and R2 are configured with mismatched EIGRP autonomous system numbers (AS 100 on R1 vs AS 200 on R2). EIGRP routers must use the same AS number to form a neighbor relationship, so no adjacency is established and no routes are exchanged.",3,routing,high,"show ip eigrp neighbors (after fix, on both routers)","Change R2's EIGRP process to AS 100 to match R1: remove 'router eigrp 200' and configure 'router eigrp 100' with the same network statements, then verify the neighbor relationship forms and routes populate on both routers."
C016,"PC-HQ7 lost connectivity to everything, including local HQ resources, right after a scheduled maintenance window on R1.",Topology C (WAN): R1's Gi0/0 is the HQ LAN gateway interface (192.168.1.1/24).,"R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0      192.168.1.1     YES manual administratively down down

R1# show interfaces gi0/0 | include line protocol
GigabitEthernet0/0 is administratively down, line protocol is down","R1's Gi0/0 interface (the HQ LAN gateway) is administratively shut down, most likely left disabled after maintenance. With the gateway interface down, all HQ hosts lose connectivity to anything beyond their own switch segment.",1,gateway,high,show running-config interface gi0/0 (confirm no other misconfiguration besides shutdown),"Re-enable the interface with 'no shutdown' under 'interface GigabitEthernet0/0' on R1, then confirm 'show ip interface brief' reports the interface as up/up and PC-HQ7 regains connectivity."
C017,R2's branch LAN hosts can reach R2 itself but nothing beyond it; R1 reports no route learned from R2 for the branch subnet even though OSPF is configured on both.,"Topology C (WAN): R1 and R2 run OSPF; R1 is in Area 0, R2's WAN-facing interface was configured in a non-backbone area by mistake.","R2# show ip ospf interface brief
Interface    PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Se0/0/0      1     1               192.168.12.2/30    64    DOWN  0/0

R1# show ip ospf interface brief
Interface    PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Se0/0/0      1     0               192.168.12.1/30    64    DOWN  0/0",R1's WAN interface is in OSPF Area 0 while R2's matching WAN interface is in Area 1. OSPF requires both ends of a link to be in the same area to form an adjacency; the area mismatch prevents the neighbor relationship (and therefore route exchange) from ever forming.,3,routing,high,"show ip ospf neighbor (confirm no adjacency exists, consistent with the area mismatch)","Change R2's Se0/0/0 OSPF area to 0 to match R1: under the OSPF network statement, correct 'area 1' to 'area 0' for the 192.168.12.0/30 network, then verify the neighbor forms and the branch subnet route appears in R1's routing table."
C018,"PC-BR5 at the Branch can reach the Branch gateway and the WAN link, but not any HQ resources; other Branch PCs on the same switch work fine.",Topology C (WAN): Branch LAN is 192.168.2.0/24 with a /24 mask; PC-BR5 was manually configured rather than via DHCP.,"PC-BR5> ipconfig
IP Address..............: 192.168.2.77
Subnet Mask..............: 255.255.255.128
Default Gateway..........: 192.168.2.1

PC-BR5> ping 192.168.2.1
Reply from 192.168.2.1: bytes=32 time=1ms TTL=255 (4/4 received)

PC-BR5> ping 192.168.1.10
Request timed out. (4/4 packets lost)","PC-BR5 has an incorrect subnet mask (255.255.255.128 / a /25) instead of the network's actual 255.255.255.0 / /24. This puts PC-BR5 in a different logical subnet than the rest of 192.168.2.0/24, so while ARP for the directly-reachable gateway IP still happens to work, routing decisions based on the wrong local subnet boundary break off-subnet (HQ-bound) traffic.",3,gateway,medium,"show running-config (or DHCP pool config, to confirm the correct mask that should have been assigned)","Correct PC-BR5's subnet mask to 255.255.255.0 to match the rest of the Branch LAN, then re-test connectivity to HQ resources."
C019,No internal hosts can reach the internet; internal-to-internal traffic works fine.,"Topology D (Internet Edge): R-EDGE performs NAT overload (PAT) for inside network 172.16.0.0/16 going out Gi0/1 (outside, ISP-facing).","R-EDGE# show ip nat translations
(no translations present)

R-EDGE# show running-config | section ip nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload
!
access-list 1 permit 10.0.0.0 0.255.255.255

R-EDGE# show ip interface brief | include Gi
GigabitEthernet0/0      172.16.0.1      YES manual up                    up
GigabitEthernet0/1      203.0.113.5     YES manual up                    up","NAT access-list 1 permits source network 10.0.0.0/8, but the actual inside network is 172.16.0.0/16. Since no inside host's address matches the ACL, nothing gets translated, so outbound internet traffic is dropped rather than PAT'ed.",3,nat,high,show ip nat statistics (to confirm zero hits against access-list 1),"Correct access-list 1 to match the real inside network: 'access-list 1 permit 172.16.0.0 0.0.255.255' (replacing or supplementing the existing incorrect entry), then verify translations appear in 'show ip nat translations' when a host generates outbound traffic."
C020,"Internal hosts can generate outbound pings that appear to leave R-EDGE, but no NAT translations are ever created and return traffic never arrives.",Topology D (Internet Edge): NAT requires 'ip nat inside' and 'ip nat outside' to be applied on the correct interfaces.,"R-EDGE# show ip interface gi0/0 | include NAT
  (no NAT-related output)

R-EDGE# show ip interface gi0/1 | include NAT
  Outside interface is not set (this router is NOT an outside NAT interface)

R-EDGE# show running-config interface gi0/0
interface GigabitEthernet0/0
 ip address 172.16.0.1 255.255.0.0

R-EDGE# show running-config interface gi0/1
interface GigabitEthernet0/1
 ip address 203.0.113.5 255.255.255.252","Neither Gi0/0 nor Gi0/1 has the required 'ip nat inside' / 'ip nat outside' commands applied. Without these, R-EDGE never triggers NAT translation for traffic crossing between the two interfaces even if the NAT rule and ACL themselves are correctly configured.",3,nat,high,show running-config | section ip nat (confirm the pool/overload statement exists and just needs the interface tags),"Apply 'ip nat inside' under interface GigabitEthernet0/0 and 'ip nat outside' under interface GigabitEthernet0/1 on R-EDGE, then confirm 'show ip nat translations' populates when a host sends outbound traffic."
C021,"Internal users can reach external websites by typing IP addresses directly, but not by domain name.",Topology D (Internet Edge): internal DNS forwarder should relay unresolved queries to an upstream public DNS server.,"PC-INT12> nslookup example.com
DNS request timed out.
timeout was 2 seconds.

DNS-FWD# show running-config | section dns
ip dns server
!
(no 'ip name-server' forwarder configured)","The internal DNS forwarder (DNS-FWD) has 'ip dns server' enabled but no upstream 'ip name-server' address configured, so it has no way to forward or resolve external domain queries — it can only serve entries it locally knows (none, in this case), causing all external name lookups to time out.",7,dns,medium,show hosts (to confirm no locally cached/static entries exist that would mask the problem),"Configure an upstream forwarder on DNS-FWD, e.g. 'ip name-server 8.8.8.8', then re-test 'nslookup example.com' from an internal client."
C022,"Internal users cannot browse any HTTPS websites, but HTTP (unencrypted) sites and ping to the internet both work fine.",Topology D (Internet Edge): an extended ACL on R-EDGE's outbound interface controls what traffic classes are permitted to the internet.,"R-EDGE# show access-lists 110
Extended IP access list 110
    10 permit tcp any any eq 80
    20 permit icmp any any
    30 deny tcp any any eq 443
    40 permit ip any any

R-EDGE# show ip interface gi0/1 | include access list
  Outgoing access list is 110","ACL 110, applied outbound on Gi0/1, explicitly denies TCP port 443 (HTTPS) at line 30, before the general permit-any at line 40 is reached. HTTP (port 80) and ICMP are explicitly permitted earlier in the list, which is why they still work.",4,acl,high,"show access-lists 110 (re-check after edit, and confirm no other device applies a conflicting ACL)","Remove or reorder ACL 110 line 30 (the deny for tcp port 443) so HTTPS traffic is permitted, e.g. by deleting that entry so traffic falls through to the permit-any statement, then re-test HTTPS access from an internal client."
C023,"Only some internal hosts can reach the internet at a time; others intermittently lose connectivity, especially during peak usage hours.","Topology D (Internet Edge): NAT overload (PAT) is configured using a single outside interface address, shared by the whole 172.16.0.0/16 inside network.","R-EDGE# show ip nat translations | count
Total translations: 1 (0 static, 1 dynamic; 1 extended)

R-EDGE# show ip nat statistics
Total active translations: 1 (0 static, 1 dynamic, 0 extended)
Outside interfaces: GigabitEthernet0/1
Inside interfaces: GigabitEthernet0/0
Hits: 4021  Misses: 812
Expired translations: 39

Admin note: peak-hour trouble tickets correlate with 'Misses' climbing sharply and new sessions failing to establish.","NAT overload is using a single outside address for port-based translation, which supports many simultaneous sessions in theory, but the rising 'Misses' counter alongside failed new sessions at peak hours suggests the router is running out of available port mappings for that single outside IP under high concurrent load. Evidence points toward the single-address overload pool being a scaling bottleneck rather than a full misconfiguration, though a NAT pool with multiple addresses or session-timeout tuning would need to be confirmed as the fix by reviewing session limits.",3,nat,medium,"show ip nat statistics (repeated over time, correlated with the ticket timestamps to confirm port exhaustion)","Consider expanding the NAT overload pool to use a small pool of outside addresses instead of a single IP (e.g. 'ip nat pool OUTSIDE_POOL 203.0.113.5 203.0.113.8 netmask 255.255.255.252' with 'ip nat inside source list 1 pool OUTSIDE_POOL overload'), and review/adjust NAT translation timeout values to free up ports from idle sessions sooner."
C024,External partners report they cannot establish a return connection for a service the internal team says it opened; internal-to-internet traffic works normally in the other direction.,Topology D (Internet Edge): inbound ACL on the outside interface controls what unsolicited traffic is allowed in from the internet.,"R-EDGE# show access-lists 120
Extended IP access list 120
    10 deny ip any any

R-EDGE# show ip interface gi0/1 | include Inbound
  Inbound  access list is 120","Inbound ACL 120 on the outside interface (Gi0/1) is a blanket 'deny ip any any' with no permit statements at all, blocking all unsolicited inbound traffic from the internet, including the return traffic or new inbound session partners are trying to establish.",4,acl,high,"show running-config (to identify exactly which service/port the internal team intended to expose, before writing a permit rule)","Add a specific permit statement to ACL 120 for the required service (e.g. 'access-list 120 permit tcp any host 203.0.113.5 eq 443' for the intended port), keeping the deny-any as a final catch-all, then verify the partner's connection succeeds without over-opening the firewall."
C025,"Guest Wi-Fi (Guest SSID, VLAN 50) users can reach the internet fine but can also reach the internal file server (10.10.99.10), which should be isolated from guests.",Topology E (Wireless): WLC1 maps Guest SSID to VLAN 50; an ACL on the core switch is meant to block Guest VLAN from reaching internal server subnets.,"SW-CORE# show access-lists GUEST_ISOLATION
Extended IP access list GUEST_ISOLATION
    10 permit ip 172.16.50.0 0.0.0.255 any

SW-CORE# show ip interface vlan 50 | include access list
  Inbound  access list is GUEST_ISOLATION","ACL GUEST_ISOLATION, applied inbound on the Guest VLAN 50 interface, only contains a permit-all statement for the guest subnet — there is no deny rule blocking guest traffic from reaching internal server subnets. The ACL currently does the opposite of its intended purpose.",3,wireless,high,show running-config (to identify the exact internal subnets that should be explicitly denied),"Rewrite ACL GUEST_ISOLATION to explicitly deny guest traffic to internal subnets before the permit-any, e.g. 'deny ip 172.16.50.0 0.0.0.255 10.10.99.0 0.0.0.255' (and any other internal ranges) followed by 'permit ip 172.16.50.0 0.0.0.255 any' for internet access, then verify guest hosts can no longer reach 10.10.99.10."
C026,Devices connecting to the Guest SSID authenticate to the wireless network but never receive an IP address.,Topology E (Wireless): Guest SSID is mapped to VLAN 50 on WLC1; DHCP for Guest VLAN 50 should be relayed to DHCP-SRV.,"WLC1# show wlan Guest-WiFi
WLAN Identifier.................................. 2
Interface......................................... guest-vlan50

WLC1# show interface guest-vlan50
Interface Name................................... guest-vlan50
VLAN Identifier................................... 50

SW-CORE# show running-config interface vlan 50
interface Vlan50
 ip address 172.16.50.1 255.255.255.0
(no ip helper-address configured)","The Vlan50 (Guest) SVI on SW-CORE has no 'ip helper-address' pointing to the DHCP server, so guest client DHCP broadcast requests are never relayed off the local segment, and clients never receive an offer.",7,dhcp,high,show ip interface vlan 50 (confirm helper-address after fix),"Add 'ip helper-address 172.16.99.10' under 'interface Vlan50' on SW-CORE, then have a guest client reconnect and confirm it receives a 172.16.50.0/24 address."
